iso3_code,total_estimated_floor_area,total_estimated_heat_demand,total_estimated_emissions
FRA,6089621849.860297,0.000207913,62462216.705776066
FRO,4429566.12902986,0.00013328,63568.9572432554
FSM,0.0,0.0,0.0
GAB,183595810.69884855,2.0006e-05,329579.8861927177
GBR,6176577379.490362,0.00018528499999999999,96707477.65721025
GEO,335974116.4553276,0.00034527799999999997,5900406.962057677
GGY,7908197.74053077,5.2005e-05,44283.458810787895
GHA,2719812439.223162,2.0006e-05,4882439.696050917
GIB,3211394.029616381,5.2005e-05,17982.812254032287
GIN,1093791396.2208722,2.0006e-05,1963506.9150698748
GLP,35551812.720281675,2.0006e-05,89348.5928898498
GMB,199931883.90208787,2.0006e-05,358905.39817834215
GNB,135297233.18915877,2.0006e-05,242877.25600566875
GNQ,117256129.42638054,2.0006e-05,210490.9782235431
GRC,967901147.2058421,0.00034527799999999997,7802043.084311992
GRD,10160383.975705745,2.0006e-05,25535.01332245692
GRL,5791587.243170058,0.0008748650000000001,175652.13132611342
GTM,1593108968.01087,2.0006e-05,4003791.4727979074
GUF,23288865.678605158,2.0006e-05,52026.161110098146
GUM,0.0,0.0,0.0
GUY,68632402.69747868,2.0006e-05,153321.3549079141
HKG,688472264.0739331,2.2628e-05,1739585.5837125434
HMD,0.0,0.0,0.0
HND,821748337.0836024,2.0006e-05,2065212.7700399328
HRV,370322784.69106984,0.00034527799999999997,5547614.598277795
HTI,1026661939.4158587,2.0006e-05,2580200.3510229
HUN,877994164.1212186,0.000159993,15125562.166249303
IDN,24086608816.268494,2.0006e-05,53808279.37971727
IMN,7589820.294687737,0.00013328,108921.9457939702
IND,116618562287.89008,9.4639e-05,274348751.9101688
IOT,0.0,0.0,0.0
IRL,442919789.8617562,0.00018528499999999999,4468384.764110627
IRN,7435150769.557798,0.000232004,50391164.73716816
IRQ,3590411218.794811,0.00021199800000000003,21328717.8293527
ISL,32692721.37248332,0.00040394300000000003,318418.41732298856
ISR,842608243.4061016,5.2005e-05,4893098.803402804
ITA,5405525372.514855,0.000367906,49776975.28611973
JAM,245306578.99417034,2.0006e-05,616502.9567465119
JEY,10107094.261291787,5.2005e-05,56596.59850470883
JOR,985400102.3674418,7.4633e-05,5716206.259352347
JPN,11140935972.094353,0.000182621,178243647.85705853
KAZ,1640531411.048192,0.00040083100000000004,39505163.10442809
KEN,4306368797.871791,2.0006e-05,7730527.907494115
KGZ,563588410.5853088,0.000159993,10068765.276981711
KHM,1466938228.1947868,2.0006e-05,3277066.631404733
KIR,0.0,0.0,0.0
KNA,5011263.302730946,2.0006e-05,12594.275521825031
KOR,4651506788.111382,0.000182621,81983631.200404
KWT,387778154.6946456,5.2005e-05,2251861.2173221204
LAO,566938988.0599958,2.0006e-05,1266513.343305604
LBN,618534132.6875741,5.2005e-05,3591881.1003830773
LBR,397674552.89875585,2.0006e-05,713880.8526578969
LBY,531713336.27191794,9.4639e-05,1852182.7326742196
LCA,16154427.662893174,2.0006e-05,40599.20634643054
LIE,3494231.596007222,0.00013328,50145.91778388547
LKA,1977248119.8513794,2.0006e-05,4417073.40570602
LSO,204705552.3411039,2.2628e-05,415636.29059934383
LTU,250037184.8672915,0.00029327300000000004,4297948.919345235
LUX,55091197.158013456,0.00013328,790616.9260384243
LVA,172129423.42424273,0.00029327300000000004,2888674.2155362256
