,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
40,Canada,CAN,North America,0.63,9955227065389.63,4e-06,199.4,8.0,757804111934.808,0.000230084,272492749.8412111,7876024.78180163
40,Canada,CAN,North America,0.63,9955227065389.63,4e-06,199.4,10.0,2127415467955.6,0.00024528,764980397.6886034,23571007.58492241
40,Canada,CAN,North America,0.63,9955227065389.63,4e-06,199.4,9.0,3050115259650.88,0.000385013,1096766672.739311,53046329.954998754
40,Canada,CAN,North America,0.63,9955227065389.63,4e-06,199.4,4.0,225950050120.452,0.00013328,81247580.36332497,1360320.1262647265
40,Canada,CAN,North America,0.63,9955227065389.63,4e-06,199.4,5.0,2460812976588.93,0.000159993,884864154.568403,17784566.66319693
41,Cocos (Keeling) Islands,CCK,Seven seas (open ocean),0.0,13709109.691,3.886e-05,199.4,,,,,
42,Switzerland,CHE,Europe,0.54,41245701488.076,0.00020798,199.4,4.0,41245701488.076,0.00013328,771148948.8370496,11066802.73617229
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,7.0,58298523032.589,0.000158663,120433020.67403851,2133705.231406264
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,3.0,371695366693.251,5.2005e-05,767847853.6478399,4458958.766759734
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,1.0,152420678110.468,2.0006e-05,314870458.51517797,703404.8557620546
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,10.0,26743131832.493,0.00024528,55245930.45128703,1513127.801430382
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,4.0,94900567758.83,0.00013328,196045481.84673977,2917662.1594480504
43,Chile,CHL,South America,0.56,757580334332.859,2.298e-05,199.4,2.0,53319199939.028,2.2628e-05,110146740.85294718,278311.4040744159
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,6.0,1741365216099.25,0.000240838,22854973586.174232,830870039.4119172
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,3.0,157920146313.692,5.2005e-05,2072661575.7314453,16270498.536340201
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,1.0,239806058278.693,2.0006e-05,3147393250.4757853,9504704.883754615
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,9.0,8384093290.673,0.000385013,110039082.51457267,6395135.0118852975
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,2.0,3677928588071.97,2.2628e-05,48271873099.95572,164879888.23126122
44,China,CHN,Asia,0.56,9382250442817.79,0.000146,269.55,5.0,3556575094741.66,0.000159993,46679139502.76865,1127330317.08698
45,Côte d'Ivoire,CIV,Africa,0.45,321658071510.367,7.997e-05,199.4,1.0,321658071510.367,2.0006e-05,2312381853.6989627,4151045.4147905535
46,Cameroon,CMR,Africa,0.45,466040044069.723,5.224e-05,199.4,1.0,466040044069.723,2.0006e-05,2188589975.62707,3928821.863331418
47,Democratic Republic of the Congo,COD,Africa,0.45,2329127671749.23,3.701e-05,199.4,1.0,2329127671749.23,2.0006e-05,7749084256.186502,13910678.558134144
48,Congo,COG,Africa,0.45,341732172426.457,1.579e-05,199.4,1.0,341732172426.457,2.0006e-05,485071769.72046876,870770.9508797355
49,Cook Islands,COK,Oceania,0.4,261314258.053,6.435e-05,199.4,,,,,
50,Colombia,COL,South America,0.56,1136758797396.22,4.1e-05,199.4,1.0,1136705282965.81,2.0006e-05,4189572767.1844277,9359296.016218489
51,Comoros,COM,Africa,0.45,1673149991.528,0.00046949,199.4,1.0,1673082588.965,2.0006e-05,70612522.94309185,126759.25004377475
52,Cabo Verde,CPV,Africa,0.45,4090952505.964,0.00013649,199.4,,,,,
53,Costa Rica,CRI,North America,0.63,51176763093.762,9.898e-05,199.4,1.0,51136691280.535,2.0006e-05,455006998.37280226,1143520.7363266612
54,Cuba,CUB,North America,0.63,110730653658.759,0.00010187,199.4,1.0,110522778181.553,2.0006e-05,1012129543.9699892,2543677.6258773957
55,Curaçao,CUW,North America,0.63,437711447.461,0.00035735,199.4,1.0,437711447.461,2.0006e-05,14061112.85999764,35338.30070469066
56,Christmas Island,CXR,Seven seas (open ocean),0.0,139610510.788,1.512e-05,199.4,,,,,
57,Cayman Islands,CYM,North America,0.63,280407608.399,0.0002541,199.4,1.0,77720687.298,2.0006e-05,1775330.851726045,4461.750368784117
58,Cyprus,CYP,Asia,0.56,5719652303.874,9.468e-05,199.4,3.0,5719652303.874,5.2005e-05,48681716.285479195,282698.9286755275
59,Czechia,CZE,Europe,0.54,78835798395.215,0.00013543,199.4,4.0,55691517350.418,0.00013328,678019105.7350376,9730291.023337903
