Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh
,TTO,Trinidad and Tobago,,264.59,0.00026459,1,199.40
,TUN,Tunisia,,71.65,7.165E-05,1,199.40
,TUR,Turkey,,106.12,0.00010612,1,199.40
,TUV,Tuvalu,,396.15,0.00039615,1,199.40
,TWN,Taiwan,,652.11,0.00065211,1,199.40
,TZA,Tanzania,,59.14,5.914E-05,1,199.40
,UGA,Uganda,,165.62,0.00016562,1,199.40
,UKR,Ukraine,,69.49,6.949E-05,1,199.40
,UMI,United States Minor Outlying Islands,,0,0,1,199.40
,URY,Uruguay,,19.97,1.997E-05,1,199.40
2,USA,United States,North America,34,3.4E-05,0.62,214.88
,UZB,Uzbekistan,,72.99,7.299E-05,1,199.40
,VAT,Vatican City,,924.49,0.00092449,1,199.40
,VCT,Saint Vincent and the Grenadines,,284.11,0.00028411,1,199.40
,VEN,Venezuela,,35.16,3.516E-05,1,199.40
,VGB,British Virgin Islands,,213.28,0.00021328,1,199.40
,VIR,"Virgin Islands, U.S.",,298.04,0.00029804,1,199.40
,WLF,Wallis and Futuna,,81.69,8.169E-05,1,199.40
,VNM,Vietnam,,290.48,0.00029048,1,199.40
,WSM,Samoa,,70.4,7.04E-05,1,199.40
,VUT,Vanuatu,,24.79,2.479E-05,1,199.40
,XAD,Akrotiri and Dhekelia,,0,0,1,199.40
,XCA,Caspian Sea,,0,0,1,199.40
,XCL,Clipperton Island,,0,0,1,199.40
,XKO,Kosovo,,164.59,0.00016459,1,199.40
,XNC,Northern Cyprus,,0,0,1,199.40
,XPI,Paracel Islands,,0,0,1,199.40
,XSP,Spratly Islands,,0,0,1,199.40
,YEM,Yemen,,63.55,6.355E-05,1,199.40
,ZAF,South Africa,,48.14,4.814E-05,1,199.40
,ZMB,Zambia,,21.8,2.18E-05,1,199.40
,ZWE,Zimbabwe,,38.8,3.88E-05,1,199.40
