Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh,,,,,,,,
,KGZ,Kyrgyzstan,,31.56,0.00,1.00,199.40,,,,,,,,
,KHM,Cambodia,,89.98,0.00,1.00,199.40,,,,,,,,
,KIR,Kiribati,,154.13,0.00,1.00,199.40,,,,,,,,
,KNA,Saint Kitts and Nevis,,208.69,0.00,1.00,199.40,,,,,,,,
,KOR,South Korea,,516.72,0.00,1.00,199.40,,,,,,,,
,KWT,Kuwait,,248.07,0.00,1.00,199.40,,,,,,,,
,LAO,Laos,,27.42,0.00,1.00,199.40,,,,,,,,
,LBN,Lebanon,,672.06,0.00,1.00,199.40,,,,,,,,
,LBR,Liberia,,46.12,0.00,1.00,199.40,,,,,,,,
,LBY,Libya,,3.66,0.00,1.00,199.40,,,,,,,,
,LCA,Saint Lucia,,292.47,0.00,1.00,199.40,,,,,,,,
,LIE,Liechtenstein,,239.88,0.00,1.00,199.40,,,,,,,,
,LKA,Sri Lanka,,334.08,0.00,1.00,199.40,,,,,,,,
,LSO,Lesotho,,74.55,0.00,1.00,199.40,,,,,,,,
,LTU,Lithuania,,42.78,0.00,1.00,199.40,,,,,,,,
,LUX,Luxembourg,,237.39,0.00,1.00,199.40,,,,,,,,
,LVA,Latvia,,29.59,0.00,1.00,199.40,,,,,,,,
,MAC,Macao,,21158.05,0.02,1.00,199.40,,,,,,,,
,MAF,Saint-Martin,,664.17,0.00,1.00,199.40,,,,,,,,
,MAR,Morocco,,81.00,0.00,1.00,199.40,,,,,,,,
,MCO,Monaco,,18960.40,0.02,1.00,199.40,,,,,,,,
,MDA,Moldova,,79.24,0.00,1.00,199.40,,,,,,,,
,MDG,Madagascar,,43.75,0.00,1.00,199.40,,,,,,,,
,MDV,Maldives,,1257.63,0.00,1.00,199.40,,,,,,,,
,MEX,Mexico,,64.35,0.00,1.00,199.40,,,,,,,,
,MHL,Marshall Islands,,308.84,0.00,1.00,199.40,,,,,,,,
,MKD,Macedonia,,80.78,0.00,1.00,199.40,,,,,,,,
,MLI,Mali,,15.30,0.00,1.00,199.40,,,,,,,,
,MLT,Malta,,1633.54,0.00,1.00,199.40,,,,,,,,
,MMR,Myanmar,,80.32,0.00,1.00,199.40,,,,,,,,
,MNE,Montenegro,,45.05,0.00,1.00,199.40,,,,,,,,
,MNG,Mongolia,,2.07,0.00,1.00,199.40,,,,,,,,
,MNP,Northern Mariana Islands,,123.85,0.00,1.00,199.40,,,,,,,,
,MOZ,Mozambique,,35.74,0.00,1.00,199.40,,,,,,,,
,MRT,Mauritania,,3.87,0.00,1.00,199.40,,,,,,,,
,MSR,Montserrat,,48.25,0.00,1.00,199.40,,,,,,,,
,MTQ,Martinique,,329.12,0.00,1.00,199.40,,,,,,,,
,MUS,Mauritius,,620.38,0.00,1.00,199.40,,,,,,,,
,MWI,Malawi,,148.24,0.00,1.00,199.40,,,,,,,,
,MYS,Malaysia,,99.00,0.00,1.00,199.40,,,,,,,,
,MYT,Mayotte,,685.88,0.00,1.00,199.40,,,,,,,,
,NAM,Namibia,,2.93,0.00,1.00,199.40,,,,,,,,
,NCL,New Caledonia,,13.94,0.00,1.00,199.40,,,,,,,,
,NER,Niger,,18.81,0.00,1.00,199.40,,,,,,,,
,NFK,Norfolk Island,,49.94,0.00,1.00,199.40,,,,,,,,
,NGA,Nigeria,,217.55,0.00,1.00,199.40,,,,,,,,
,NIC,Nicaragua,,52.66,0.00,1.00,199.40,,,,,,,,
,NIU,Niue,,6.18,0.00,1.00,199.40,,,,,,,,
12,NLD,Netherlands,Europe,424.00,0.00,1.00,199.40,,,,,,,,
10,NOR,Norway,Europe,16.64,0.00,1.00,199.40,,,,,,,,
,NPL,Nepal,,200.72,0.00,1.00,199.40,,,,,,,,
,NRU,Nauru,,533.33,0.00,1.00,199.40,,,,,,,,
,NZL,New Zealand,,19.00,0.00,1.00,199.40,,,,,,,,
,OMN,Oman,,15.01,0.00,1.00,199.40,,,,,,,,
,PAK,Pakistan,,278.00,0.00,1.00,199.40,,,,,,,,
,PAN,Panama,,56.07,0.00,1.00,199.40,,,,,,,,
,PCN,Pitcairn Islands,,1.19,0.00,1.00,199.40,,,,,,,,
,PER,Peru,,25.02,0.00,1.00,199.40,,,,,,,,
,PHL,Philippines,,367.00,0.00,1.00,199.40,,,,,,,,
,PLW,Palau,,40.32,0.00,1.00,199.40,,,,,,,,
,PNG,Papua New Guinea,,19.30,0.00,1.00,199.40,,,,,,,,
7,POL,Poland,Europe,122.76,0.00,1.00,199.40,,,,,,,,
,PRI,Puerto Rico,,350.96,0.00,1.00,199.40,,,,,,,,
,PRK,North Korea,,211.96,0.00,1.00,199.40,,,,,,,,
14,PRT,Portugal,Europe,111.59,0.00,1.00,199.40,,,,,,,,
,PRY,Paraguay,,17.10,0.00,1.00,199.40,,,,,,,,
,PSE,Palestina,,826.69,0.00,1.00,199.40,,,,,,,,
,PYF,French Polynesia,,79.69,0.00,1.00,199.40,,,,,,,,
,QAT,Qatar,,236.84,0.00,1.00,199.40,,,,,,,,
,REU,Reunion,,340.96,0.00,1.00,199.40,,,,,,,,
